"_id","_labels","fga","fgm","game_code","label","player","player_code","punt","punt_long","punt_yds","punt_yds_per_punt","team","xpa","xpm","year","_start","_end","_type"
"254451",":stat_player_game_kick","","","200309140tam","200309140tam_1","Todd Sauerbrun","S/SaueTo20","7","55","335","47.9","CAR","","","2003",,,
"254453",":stat_player_game_kick","4","4","200309140tam","200309140tam_2","John Kasay","K/kasayjoh01","0","","0","","CAR","","","2003",,,
"254461",":stat_player_game_kick","3","1","200309140tam","200309140tam_3","Martin Gramatica","G/gramamar01","0","","0","","TAM","1","","2003",,,
"254464",":stat_player_game_kick","","","200309140tam","200309140tam_4","Tom Tupa","T/TupaTo20","7","59","332","47.4","TAM","","","2003",,,
"254491",":stat_player_game_kick","1","1","200309070det","200309070det_1","Bill Gramatica","G/gramabil01","0","","0","","ARI","3","3","2003",,,
"254493",":stat_player_game_kick","","","200309070det","200309070det_2","Scott Player","P/PlaySc20","4","52","163","40.8","ARI","","","2003",,,
"254497",":stat_player_game_kick","","","200309070det","200309070det_3","Jason Hanson","H/hansojas01","0","","0","","DET","6","6","2003",,,
"254500",":stat_player_game_kick","","","200309070det","200309070det_4","John Jett","J/JettJo21","6","41","222","37.0","DET","","","2003",,,
"254501",":stat_player_game_kick","8","7","200309150nyg","200309150nyg_1","Billy Cundiff","C/cundibil01","0","","0","","DAL","2","2","2003",,,
"254507",":stat_player_game_kick","","","200309150nyg","200309150nyg_2","Toby Gowin","G/gowintob01","6","47","220","36.7","DAL","","","2003",,,
"254510",":stat_player_game_kick","1","1","200309150nyg","200309150nyg_3","Matt Bryant","B/bryanmat01","0","","0","","NYG","3","3","2003",,,
"254511",":stat_player_game_kick","2","2","200309070dal","200309070dal_1","Jay Feely","F/feelyjay01","0","","0","","ATL","3","3","2003",,,
"254514",":stat_player_game_kick","","","200309070dal","200309070dal_2","Chris Mohr","M/MohrCh20","5","48","213","42.6","ATL","","","2003",,,
"254515",":stat_player_game_kick","","","200309150nyg","200309150nyg_4","Jeff Feagles","F/FeagJe20","7","56","306","43.7","NYG","","","2003",,,
"254518",":stat_player_game_kick","","","200309070pit","200309070pit_1","Matt Stover","S/stovemat01","0","","0","","BAL","1","1","2003",,,
"254520",":stat_player_game_kick","1","","200309070dal","200309070dal_3","Billy Cundiff","C/cundibil01","0","","0","","DAL","2","1","2003",,,
"254522",":stat_player_game_kick","","","200309070pit","200309070pit_2","Dave Zastudil","Z/ZastDa20","6","55","226","37.7","BAL","","","2003",,,
"254523",":stat_player_game_kick","","","200309070dal","200309070dal_4","Toby Gowin","G/gowintob01","6","51","261","43.5","DAL","","","2003",,,
"254525",":stat_player_game_kick","2","2","200309070pit","200309070pit_3","Jeff Reed","R/reedxjef01","0","","0","","PIT","4","4","2003",,,
"254529",":stat_player_game_kick","","","200309070pit","200309070pit_4","Josh Miller","M/MillJo25","5","57","231","46.2","PIT","","","2003",,,
"254546",":stat_player_game_kick","3","3","200309140sdg","200309140sdg_1","Jason Elam","E/elamxjas01","0","","0","","DEN","4","4","2003",,,
"254547",":stat_player_game_kick","2","2","200309140min","200309140min_1","Paul Edinger","E/edingpau01","0","","0","","CHI","1","1","2003",,,
"254549",":stat_player_game_kick","","","200309140sdg","200309140sdg_2","Micah Knorr","K/knorrmic01","3","49","134","44.7","DEN","","","2003",,,
"254550",":stat_player_game_kick","","","200309140min","200309140min_2","Brad Maynard","M/MaynBr20","5","48","205","41.0","CHI","","","2003",,,
"254551",":stat_player_game_kick","3","3","200309070cin","200309070cin_1","Jason Elam","E/elamxjas01","0","","0","","DEN","3","3","2003",,,
"254552",":stat_player_game_kick","2","2","200309140sdg","200309140sdg_3","Steve Christie","C/chrisste01","0","","0","","SDG","1","1","2003",,,
"254553",":stat_player_game_kick","2","1","200309140min","200309140min_3","Aaron Elling","E/ellinaar01","0","","0","","MIN","3","3","2003",,,
"254554",":stat_player_game_kick","","","200309070cin","200309070cin_2","Micah Knorr","K/knorrmic01","5","55","235","47.0","DEN","","","2003",,,
"254555",":stat_player_game_kick","","","200309140sdg","200309140sdg_4","Darren Bennett","B/BennDa20","5","51","214","42.8","SDG","","","2003",,,
"254556",":stat_player_game_kick","","","200309140min","200309140min_4","Eddie Johnson","J/JohnEd22","3","42","82","27.3","MIN","","","2003",,,
"254558",":stat_player_game_kick","1","1","200309070cin","200309070cin_3","Shayne Graham","G/grahasha01","0","","0","","CIN","1","1","2003",,,
"254561",":stat_player_game_kick","","","200309070cin","200309070cin_4","Nick Harris","H/HarrNi20","4","51","161","40.3","CIN","","","2003",,,
"254573",":stat_player_game_kick","","","200309070sfo","200309070sfo_1","Paul Edinger","E/edingpau01","0","","0","","CHI","1","1","2003",,,
"254577",":stat_player_game_kick","","","200309070sfo","200309070sfo_2","Brad Maynard","M/MaynBr20","7","47","283","40.4","CHI","","","2003",,,
"254578",":stat_player_game_kick","5","5","200309070sfo","200309070sfo_3","Jeff Chandler","C/chandjef01","0","","0","","SFO","5","4","2003",,,
"254579",":stat_player_game_kick","","","200309070sfo","200309070sfo_4","Bill LaFleur","L/LaFlBi20","3","52","132","44.0","SFO","","","2003",,,
"254582",":stat_player_game_kick","2","2","200309140rai","200309140rai_1","Shayne Graham","G/grahasha01","0","","0","","CIN","2","2","2003",,,
"254584",":stat_player_game_kick","","","200309140rai","200309140rai_2","Nick Harris","H/HarrNi20","6","53","231","38.5","CIN","","","2003",,,
"254586",":stat_player_game_kick","3","3","200309140rai","200309140rai_3","Sebastian Janikowski","J/janikseb01","0","","0","","OAK","2","2","2003",,,
"254588",":stat_player_game_kick","","","200309140rai","200309140rai_4","Shane Lechler","L/LechSh20","6","61","325","54.2","OAK","","","2003",,,
"255216",":stat_player_game_kick","","","200309210mia","200309210mia_1","Rian Lindell","L/linderia01","0","","0","","BUF","1","1","2003",,,
"255218",":stat_player_game_kick","","","200309210mia","200309210mia_2","Brian Moorman","M/MoorBr24","7","64","350","50.0","BUF","","","2003",,,
"255221",":stat_player_game_kick","3","1","200309210mia","200309210mia_3","Olindo Mare","M/marexoli01","0","","0","","MIA","2","2","2003",,,
"255225",":stat_player_game_kick","","","200309210mia","200309210mia_4","Mark Royals","R/RoyaMa20","4","48","174","43.5","MIA","","","2003",,,
"255238",":stat_player_game_kick","","","200309280car","200309280car_1","Chris Mohr","M/MohrCh20","6","50","249","41.5","ATL","","","2003",,,
"255241",":stat_player_game_kick","2","1","200309280car","200309280car_2","Jay Feely","F/feelyjay01","0","","0","","ATL","","","2003",,,
"255243",":stat_player_game_kick","3","3","200309280car","200309280car_3","John Kasay","K/kasayjoh01","0","","0","","CAR","2","2","2003",,,
"255245",":stat_player_game_kick","","","200309280car","200309280car_4","Todd Sauerbrun","S/SaueTo20","4","58","191","47.8","CAR","","","2003",,,
"255260",":stat_player_game_kick","3","3","200310120clt","200310120clt_1","John Kasay","K/kasayjoh01","0","","0","","CAR","2","2","2003",,,
