"_id","_labels","def_int","def_int_long","def_int_td","def_int_yds","fumbles_forced","fumbles_rec","fumbles_rec_td","fumbles_rec_yds","game_code","label","pass_defended","player","player_code","qb_hits","sacks","tackles_assists","tackles_combined","tackles_loss","tackles_solo","team","year","_start","_end","_type"
"199325",":stat_player_game_def","","","","","0","0","0","0","200709100cin","200709100cin_8","0","Chris McAlister","M/McAlCh00","0","0.0","1","3","0","2","BAL","2007",,,
"199326",":stat_player_game_def","","","","","1","0","0","0","200709100sfo","200709100sfo_8","0","Terrence Holt","H/HoltTe20","0","0.0","1","5","0","4","ARI","2007",,,
"199327",":stat_player_game_def","","","","","0","0","0","0","200709090min","200709090min_8","1","Lewis Sanders","S/SandLe20","0","0.0","0","4","0","4","ATL","2007",,,
"199328",":stat_player_game_def","","","","","1","0","0","0","200709090ram","200709090ram_8","1","Deke Cooper","C/CoopDe20","0","0.0","1","4","0","3","CAR","2007",,,
"199329",":stat_player_game_def","","","","","0","0","0","0","200709230rav","200709230rav_8","1","Eric Green","G/GreeEr20","0","0.0","0","7","0","7","ARI","2007",,,
"199330",":stat_player_game_def","","","","","0","0","0","0","200709090sdg","200709090sdg_8","0","Hunter Hillenmeyer","H/HillHu20","0","0.0","1","9","0","8","CHI","2007",,,
"199331",":stat_player_game_def","","","","","0","0","0","0","200709230sea","200709230sea_8","1","Landon Johnson","J/JohnLa20","1","0.0","1","6","0","5","CIN","2007",,,
"199332",":stat_player_game_def","","","","","0","0","0","0","200709160pit","200709160pit_9","0","Angelo Crowell","C/CrowAn20","0","0.0","5","7","1","2","BUF","2007",,,
"199333",":stat_player_game_def","","","","","0","0","0","0","200709160cle","200709160cle_9","1","Madieu Williams","W/WillMa20","0","0.0","1","5","0","4","CIN","2007",,,
"199334",":stat_player_game_def","","","","","0","0","0","0","200709090buf","200709090buf_9","2","Dre' Bly","B/BlyxDr00","0","0.0","2","4","0","2","DEN","2007",,,
"199335",":stat_player_game_def","","","","","1","0","0","0","200709100cin","200709100cin_9","0","Haloti Ngata","N/NgatHa20","1","0.0","1","3","0","2","BAL","2007",,,
"199336",":stat_player_game_def","","","","","0","0","0","0","200709090ram","200709090ram_9","0","Ken Lucas","L/LucaKe20","0","0.0","0","4","0","4","CAR","2007",,,
"199337",":stat_player_game_def","","","","","0","0","0","0","200709100sfo","200709100sfo_9","1","Calvin Pace","P/PaceCa20","0","0.0","2","4","0","2","ARI","2007",,,
"199338",":stat_player_game_def","","","","","0","0","0","0","200709230rav","200709230rav_9","0","Terrence Holt","H/HoltTe20","0","0.0","0","4","0","4","ARI","2007",,,
"199339",":stat_player_game_def","","","","","0","0","0","0","200709090min","200709090min_9","0","Grady Jackson","J/JackGr20","0","0.0","1","3","0","2","ATL","2007",,,
"199340",":stat_player_game_def","","","","","0","0","0","0","200709230sea","200709230sea_9","1","Deltha O'Neal","O/ONeaDe00","0","0.0","0","6","0","6","CIN","2007",,,
"199341",":stat_player_game_def","","","","","1","0","0","0","200709160cle","200709160cle_10","0","Leon Hall","H/HallLe98","0","0.0","0","4","0","4","CIN","2007",,,
"199342",":stat_player_game_def","","","","","0","0","0","0","200709160pit","200709160pit_10","0","Larry Tripplett","T/TripLa20","0","0.0","4","6","0","2","BUF","2007",,,
"199343",":stat_player_game_def","","","","","0","0","0","0","200709090sdg","200709090sdg_9","0","Lance Briggs","B/BrigLa99","0","0.0","1","8","1","7","CHI","2007",,,
"199344",":stat_player_game_def","","","","","0","0","0","0","200709090buf","200709090buf_10","0","Jarvis Moss","M/MossJa99","0","0.0","1","4","0","3","DEN","2007",,,
"199345",":stat_player_game_def","","","","","0","0","0","0","200709100cin","200709100cin_10","0","Trevor Pryce","P/PrycTr00","0","0.0","2","3","1","1","BAL","2007",,,
"199346",":stat_player_game_def","","","","","0","0","0","0","200709100sfo","200709100sfo_10","0","Monty Beisel","B/BeisMo20","0","0.0","1","3","0","2","ARI","2007",,,
"199347",":stat_player_game_def","","","","","0","0","0","0","200709090min","200709090min_10","0","John Abraham","A/AbraJo00","0","0.0","1","2","0","1","ATL","2007",,,
"199348",":stat_player_game_def","","","","","0","0","0","0","200709230rav","200709230rav_10","1","Roderick Hood","H/HoodRo20","0","0.0","0","4","0","4","ARI","2007",,,
"199349",":stat_player_game_def","","","","","0","1","0","0","200709090ram","200709090ram_10","0","Julius Peppers","P/PeppJu99","0","0.0","1","4","0","3","CAR","2007",,,
"199350",":stat_player_game_def","","","","","0","0","0","0","200709230sea","200709230sea_10","0","John Thornton","T/ThorJo21","0","0.0","0","6","2","6","CIN","2007",,,
"199351",":stat_player_game_def","","","","","0","0","0","0","200709090sdg","200709090sdg_10","0","Adam Archuleta","A/ArchAd20","0","0.0","0","7","1","7","CHI","2007",,,
"199352",":stat_player_game_def","","","","","0","0","0","0","200709160pit","200709160pit_11","0","John DiGiorgio","D/DiGiJo20","0","0.0","2","5","1","3","BUF","2007",,,
"199353",":stat_player_game_def","","","","","0","0","0","0","200709160cle","200709160cle_11","0","Landon Johnson","J/JohnLa20","0","0.0","2","4","0","2","CIN","2007",,,
"199354",":stat_player_game_def","","","","","0","0","0","0","200709100cin","200709100cin_11","0","Gerome Sapp","S/SappGe20","0","0.0","1","3","0","2","BAL","2007",,,
"199355",":stat_player_game_def","","","","","0","0","0","0","200709100sfo","200709100sfo_11","0","Roderick Hood","H/HoodRo20","0","0.0","3","3","0","0","ARI","2007",,,
"199356",":stat_player_game_def","","","","","0","0","0","0","200709090min","200709090min_11","0","Jamaal Anderson","A/AndeJa98","0","0.0","1","2","0","1","ATL","2007",,,
"199357",":stat_player_game_def","","","","","0","0","0","0","200709090buf","200709090buf_11","0","Nick Ferguson","F/FergNi20","0","0.0","2","3","0","1","DEN","2007",,,
"199358",":stat_player_game_def","","","","","0","0","0","0","200709090sdg","200709090sdg_11","0","Charles Tillman","T/TillCh20","0","0.0","0","6","0","6","CHI","2007",,,
"199359",":stat_player_game_def","","","","","0","0","0","0","200709160pit","200709160pit_12","0","Chris Kelsay","K/KelsCh21","0","0.0","0","4","0","4","BUF","2007",,,
"199360",":stat_player_game_def","","","","","0","0","0","0","200709230rav","200709230rav_11","1","Calvin Pace","P/PaceCa20","0","0.0","3","4","0","1","ARI","2007",,,
"199361",":stat_player_game_def","","","","","0","0","0","0","200709230sea","200709230sea_11","1","Johnathan Joseph","J/JoseJo20","0","0.0","2","3","0","1","CIN","2007",,,
"199362",":stat_player_game_def","","","","","0","0","0","0","200709090ram","200709090ram_11","0","Jon Beason","B/BeasJo99","0","0.0","0","3","0","3","CAR","2007",,,
"199363",":stat_player_game_def","","","","","0","0","0","0","200709160cle","200709160cle_12","0","Domata Peko","P/PekoDo20","0","0.0","1","4","0","3","CIN","2007",,,
"199364",":stat_player_game_def","","","","","0","0","0","0","200709100sfo","200709100sfo_12","0","Aaron Francisco","F/FranAa20","0","0.0","0","2","0","2","ARI","2007",,,
"199365",":stat_player_game_def","","","","","0","0","0","0","200709100cin","200709100cin_12","1","Bart Scott","S/ScotBa20","0","0.0","1","3","1","2","BAL","2007",,,
"199366",":stat_player_game_def","","","","","0","0","0","0","200709090buf","200709090buf_12","0","Amon Gordon","G/GordAm20","0","0.0","0","3","0","3","DEN","2007",,,
"199367",":stat_player_game_def","","","","","0","0","0","0","200709090min","200709090min_12","0","Jonathan Babineaux","B/BabiJo20","0","0.0","0","2","1","2","ATL","2007",,,
"199368",":stat_player_game_def","","","","","0","0","0","0","200709230sea","200709230sea_12","0","Robert Geathers","G/GeatRo21","1","0.0","1","2","0","1","CIN","2007",,,
"199369",":stat_player_game_def","","","","","0","0","0","0","200709090sdg","200709090sdg_12","0","Brian Urlacher","U/UrlaBr00","0","0.0","1","6","0","5","CHI","2007",,,
"199370",":stat_player_game_def","","","","","0","0","0","0","200709160pit","200709160pit_13","0","Ashton Youboty","Y/YoubAs20","0","0.0","0","4","0","4","BUF","2007",,,
"199371",":stat_player_game_def","","","","","0","0","0","0","200709090ram","200709090ram_12","0","Thomas Davis","D/DaviTh20","0","0.0","0","3","1","3","CAR","2007",,,
"199372",":stat_player_game_def","","","","","0","1","0","2","200709100sfo","200709100sfo_13","0","Antonio Smith","S/SmitAn22","0","0.0","0","2","0","2","ARI","2007",,,
"199373",":stat_player_game_def","","","","","0","0","0","0","200709160cle","200709160cle_13","0","Robert Geathers","G/GeatRo21","1","0.0","1","3","0","2","CIN","2007",,,
"199374",":stat_player_game_def","","","","","0","0","0","0","200709230rav","200709230rav_12","0","Antrel Rolle","R/RollAn20","0","0.0","0","2","0","2","ARI","2007",,,
"199375",":stat_player_game_def","","","","","0","0","0","0","200709100cin","200709100cin_13","0","Terrell Suggs","S/SuggTe99","2","0.0","3","3","0","0","BAL","2007",,,
