"_id","_labels","game_code","kick_ret","kick_ret_long","kick_ret_td","kick_ret_yds","kick_ret_yds_per_ret","label","player","player_code","punt_ret","punt_ret_long","punt_ret_td","punt_ret_yds","punt_ret_yds_per_ret","team","year","_start","_end","_type"
"37062",":stat_player_game_return","201209170atl","0","0","0","0","","201209170atl_1","Jim Leonhard","L/LeonJi23","2","2","0","2","1.0","DEN","2012",,,
"37067",":stat_player_game_return","201209170atl","0","0","0","0","","201209170atl_2","Eric Decker","D/DeckEr00","1","9","0","9","9.0","DEN","2012",,,
"37068",":stat_player_game_return","201209160phi","0","0","0","0","","201209160phi_1","Jacoby Jones","J/JoneJa03","3","18","0","34","11.3","BAL","2012",,,
"37071",":stat_player_game_return","201209090kan","2","77","0","104","52.0","201209090kan_1","Jacquizz Rodgers","R/RodgJa00","0","0","0","0","","ATL","2012",,,
"37073",":stat_player_game_return","201209160phi","3","49","0","100","33.3","201209160phi_2","Deonte Thompson","T/ThomDe04","0","0","0","0","","BAL","2012",,,
"37074",":stat_player_game_return","201209170atl","2","30","0","47","23.5","201209170atl_3","Omar Bolden","B/BoldOm00","0","0","0","0","","DEN","2012",,,
"37079",":stat_player_game_return","201209170atl","0","0","0","0","","201209170atl_4","Dominique Franks","F/FranDo99","1","-2","0","-2","-2.0","ATL","2012",,,
"37081",":stat_player_game_return","201209160phi","0","0","0","0","","201209160phi_3","Damaris Johnson","J/JohnDa04","3","4","0","10","3.3","PHI","2012",,,
"37083",":stat_player_game_return","201209090kan","1","8","0","8","8.0","201209090kan_2","Harry Douglas","D/DougHa00","0","0","0","0","","ATL","2012",,,
"37086",":stat_player_game_return","201209170atl","1","24","0","24","24.0","201209170atl_5","Lousaka Polite","P/PoliLo00","0","0","0","0","","ATL","2012",,,
"37089",":stat_player_game_return","201209160phi","2","27","0","48","24.0","201209160phi_4","Brandon Boykin","B/BoykBr00","0","0","0","0","","PHI","2012",,,
"37092",":stat_player_game_return","201209170atl","1","23","0","23","23.0","201209170atl_6","Jacquizz Rodgers","R/RodgJa00","0","0","0","0","","ATL","2012",,,
"37095",":stat_player_game_return","201209160phi","1","1","0","1","1.0","201209160phi_5","Akeem Jordan","J/JordAk99","0","0","0","0","","PHI","2012",,,
"37098",":stat_player_game_return","201209090kan","4","25","0","79","19.8","201209090kan_3","Javier Arenas","A/ArenJa99","1","14","0","14","14.0","KAN","2012",,,
"37105",":stat_player_game_return","201209090kan","1","16","0","16","16.0","201209090kan_4","Terrance Copper","C/CoppTe00","0","0","0","0","","KAN","2012",,,
"37109",":stat_player_game_return","201209090nyj","3","26","0","71","23.7","201209090nyj_1","Leodis McKelvin","M/McKeLe99","1","27","0","27","27.0","BUF","2012",,,
"37114",":stat_player_game_return","201209090nyj","0","0","0","0","","201209090nyj_2","Jeremy Kerley","K/KerlJe00","1","68","1","68","68.0","NYJ","2012",,,
"37116",":stat_player_game_return","201209160cin","6","38","0","165","27.5","201209160cin_1","Josh Cribbs","C/CribJo01","1","9","0","9","9.0","CLE","2012",,,
"37118",":stat_player_game_return","201209230cle","1","34","0","34","34.0","201209230cle_1","Leodis McKelvin","M/McKeLe99","2","33","0","53","26.5","BUF","2012",,,
"37119",":stat_player_game_return","201209090nyj","1","24","0","24","24.0","201209090nyj_3","Joe McKnight","M/McKnJo00","0","0","0","0","","NYJ","2012",,,
"37120",":stat_player_game_return","201209230cle","3","34","0","85","28.3","201209230cle_2","Josh Cribbs","C/CribJo01","3","27","0","43","14.3","CLE","2012",,,
"37122",":stat_player_game_return","201209160cin","1","31","0","31","31.0","201209160cin_2","Adam Jones","J/JonePa20","3","81","1","90","30.0","CIN","2012",,,
"37124",":stat_player_game_return","201209090tam","1","31","0","31","31.0","201209090tam_1","Joe Adams","A/AdamJo01","3","21","0","28","9.3","CAR","2012",,,
"37127",":stat_player_game_return","201209160cin","3","30","0","72","24.0","201209160cin_3","Brandon Tate","T/TateBr00","0","0","0","0","","CIN","2012",,,
"37129",":stat_player_game_return","201209090tam","0","0","0","0","","201209090tam_2","Sammie Stroughter","S/StroSa00","1","0","0","0","0.0","TAM","2012",,,
"37130",":stat_player_game_return","201209130gnb","2","38","0","57","28.5","201209130gnb_1","Devin Hester","H/HestDe99","2","7","0","8","4.0","CHI","2012",,,
"37131",":stat_player_game_return","201209090tam","3","23","0","55","18.3","201209090tam_3","Michael Smith","S/SmitMi01","0","0","0","0","","TAM","2012",,,
"37134",":stat_player_game_return","201209130gnb","1","21","0","21","21.0","201209130gnb_2","Randall Cobb","C/CobbRa00","1","16","0","16","16.0","GNB","2012",,,
"37137",":stat_player_game_return","201209130gnb","0","0","0","0","","201209130gnb_3","Sam Shields","S/ShieSa00","1","0","0","0","0.0","GNB","2012",,,
"37140",":stat_player_game_return","201209100rav","3","25","0","64","21.3","201209100rav_1","Brandon Tate","T/TateBr00","2","14","0","19","9.5","CIN","2012",,,
"37142",":stat_player_game_return","201209100rav","0","0","0","0","","201209100rav_2","Jacoby Jones","J/JoneJa03","1","9","0","9","9.0","BAL","2012",,,
"37144",":stat_player_game_return","201209100rav","0","0","0","0","","201209100rav_3","Lardarius Webb","W/WebbLa99","1","9","0","9","9.0","BAL","2012",,,
"37145",":stat_player_game_return","201209100rav","4","27","0","88","22.0","201209100rav_4","Deonte Thompson","T/ThomDe04","0","0","0","0","","BAL","2012",,,
"37146",":stat_player_game_return","201209050nyg","0","0","0","0","","201209050nyg_1","Dez Bryant","B/BryaDe01","2","1","0","0","0.0","DAL","2012",,,
"37147",":stat_player_game_return","201209050nyg","0","0","0","0","","201209050nyg_2","Dwayne Harris","H/HarrDw00","1","3","0","3","3.0","DAL","2012",,,
"37148",":stat_player_game_return","201209050nyg","3","25","0","61","20.3","201209050nyg_3","Felix Jones","J/JoneFe00","0","0","0","0","","DAL","2012",,,
"37149",":stat_player_game_return","201209050nyg","0","0","0","0","","201209050nyg_4","Domenik Hixon","H/HixoDo00","1","5","0","5","5.0","NYG","2012",,,
"37150",":stat_player_game_return","201209050nyg","3","32","0","71","23.7","201209050nyg_5","David Wilson","W/WilsDa01","0","0","0","0","","NYG","2012",,,
"37151",":stat_player_game_return","201209050nyg","2","22","0","29","14.5","201209050nyg_6","Andre Brown","B/BrowAn03","0","0","0","0","","NYG","2012",,,
"38204",":stat_player_game_return","201209160nwe","0","0","0","0","","201209160nwe_1","Patrick Peterson","P/PetePa00","1","3","0","3","3.0","ARI","2012",,,
"38211",":stat_player_game_return","201209160nwe","1","18","0","18","18.0","201209160nwe_2","Early Doucet","D/DoucEa00","0","0","0","0","","ARI","2012",,,
"38218",":stat_player_game_return","201209160nwe","1","32","0","32","32.0","201209160nwe_3","LaRod Stephens-Howling","S/StepLa00","0","0","0","0","","ARI","2012",,,
"38221",":stat_player_game_return","201209160nwe","0","0","0","0","","201209160nwe_4","Julian Edelman","E/EdelJu00","2","22","0","25","12.5","NWE","2012",,,
"38227",":stat_player_game_return","201209300atl","0","0","0","0","","201209300atl_1","Captain Munnerlyn","M/MunnCa99","3","20","0","23","7.7","CAR","2012",,,
"38230",":stat_player_game_return","201209230sdg","0","0","0","0","","201209230sdg_1","Dominique Franks","F/FranDo99","2","22","0","34","17.0","ATL","2012",,,
"38231",":stat_player_game_return","201209160nwe","2","25","0","46","23.0","201209160nwe_5","Devin McCourty","M/McCoDe99","0","0","0","0","","NWE","2012",,,
"38234",":stat_player_game_return","201209300atl","2","28","0","55","27.5","201209300atl_2","Kealoha Pilares","P/PilaKe00","0","0","0","0","","CAR","2012",,,
