"_id","_labels","blitzes","def_air_yds","def_cmp","def_cmp_perc","def_cmp_td","def_cmp_yds","def_int","def_pass_rating","def_targets","def_tgt_yds_per_att","def_yac","def_yds_per_cmp","def_yds_per_target","game_code","label","player","player_code","pressures","qb_hurry","qb_knockdown","sacks","tackles_combined","tackles_missed","tackles_missed_pct","team","_start","_end","_type"
"0",":stat_player_game_def_adv","0","13","1","50.0%","0","18","0","81.2","2","9.0","5","18.0","9.0","201909090rai","201909090rai_22","Curtis Riley","R/RileCu00","0","0","0","0.0","1","0","0.0%","OAK",,,
"1",":stat_player_game_def_adv","5","54","2","100.0%","0","94","0","118.7","2","27.0","40","47.0","47.0","201909150rav","201909150rav_17","Tony Jefferson","J/JeffTo00","0","0","0","0.0","4","1","20.0%","BAL",,,
"2",":stat_player_game_def_adv","2","32","3","75.0%","1","34","0","139.6","4","9.3","2","11.3","8.5","201909220buf","201909220buf_20","Jordan Poyer","P/PoyeJo00","1","1","0","0.0","11","0","0.0%","BUF",,,
"3",":stat_player_game_def_adv","3","9","2","50.0%","0","9","0","56.2","4","14.0","0","4.5","2.3","201909080sea","201909080sea_19","Bradley McDougald","M/McDoBr01","1","1","0","0.0","4","0","0.0%","SEA",,,
"4",":stat_player_game_def_adv","0","","0","","","","0","","0","","","","","201909160nyj","201909160nyj_23","Leonard Williams","W/WillLe02","3","1","2","0.0","2","1","33.3%","NYJ",,,
"5",":stat_player_game_def_adv","0","","0","0.0%","","","1","0.0","4","20.8","","","0.0","201909080mia","201909080mia_15","Marlon Humphrey","H/HumpMa00","0","0","0","0.0","1","0","0.0%","BAL",,,
"6",":stat_player_game_def_adv","1","22","2","66.7%","0","22","0","88.2","3","8.3","0","11.0","7.3","201909220crd","201909220crd_19","Tramaine Brock","B/BrocTr00","0","0","0","0.0","4","1","20.0%","ARI",,,
"7",":stat_player_game_def_adv","1","-6","2","33.3%","0","5","0","42.4","6","10.8","11","2.5","0.8","201909150den","201909150den_20","Justin Simmons","S/SimmJu00","1","1","0","0.0","9","1","10.0%","DEN",,,
"8",":stat_player_game_def_adv","1","-5","1","100.0%","0","4","0","83.3","1","-5.0","9","4.0","4.0","201909080nyj","201909080nyj_23","Jordan Jenkins","J/JenkJo01","1","0","0","1.0","3","0","0.0%","NYJ",,,
"9",":stat_player_game_def_adv","0","5","1","100.0%","0","5","0","87.5","1","5.0","0","5.0","5.0","201909090rai","201909090rai_23","Gareon Conley","C/ConlGa00","0","0","0","0.0","4","0","0.0%","OAK",,,
