"_id","_labels","fga","fgm","game_code","label","player","player_code","punt","punt_long","punt_yds","punt_yds_per_punt","team","xpa","xpm","_start","_end","_type"
"323",":stat_player_game_kick","","","201909220gnb","201909220gnb_2","Colby Wadman","W/WadmCo00","3","59","148","49.3","DEN","","",,,
"332",":stat_player_game_kick","3","2","201909220gnb","201909220gnb_3","Mason Crosby","C/CrosMa20","0","0","0","","GNB","3","3",,,
"342",":stat_player_game_kick","","","201909220gnb","201909220gnb_4","JK Scott","S/ScotJK00","4","66","212","53.0","GNB","","",,,
"355",":stat_player_game_kick","","","201909300pit","201909300pit_1","Kevin Huber","H/HubeKe20","5","59","205","41.0","CIN","","",,,
"372",":stat_player_game_kick","1","1","201909300pit","201909300pit_2","Randy Bullock","B/BullRa00","0","0","0","","CIN","","",,,
"376",":stat_player_game_kick","","","201909080min","201909080min_1","Matthew Bosher","B/BoshMa00","3","52","130","43.3","ATL","","",,,
"380",":stat_player_game_kick","1","1","201909150was","201909150was_1","Brett Maher","M/MaheBr01","0","0","0","","DAL","4","4",,,
"381",":stat_player_game_kick","2","2","201909300pit","201909300pit_3","Chris Boswell","B/BoswCh00","0","0","0","","PIT","3","3",,,
"385",":stat_player_game_kick","","","201909150was","201909150was_2","Chris Jones","J/JoneCh02","2","52","101","50.5","DAL","","",,,
"389",":stat_player_game_kick","","","201909300pit","201909300pit_4","Jordan Berry","B/BerrJo00","2","62","99","49.5","PIT","","",,,
"390",":stat_player_game_kick","","","201909080min","201909080min_2","Dan Bailey","B/BailDa00","0","0","0","","MIN","4","4",,,
"392",":stat_player_game_kick","3","3","201909290htx","201909290htx_1","Joey Slye","S/SlyeJo00","0","0","0","","CAR","1","1",,,
"396",":stat_player_game_kick","","","201909080min","201909080min_3","Britton Colquitt","C/ColqBr00","5","57","247","49.4","MIN","","",,,
"400",":stat_player_game_kick","","","201909290htx","201909290htx_2","Michael Palardy","P/PalaMi00","4","52","158","39.5","CAR","","",,,
"403",":stat_player_game_kick","","","201909150was","201909150was_3","Dustin Hopkins","H/HopkDu00","0","0","0","","WAS","3","3",,,
"406",":stat_player_game_kick","2","1","201909290htx","201909290htx_3","Ka'imi Fairbairn","F/FairKa01","0","0","0","","HOU","1","1",,,
