"_id","_labels","game_code","kick_ret","kick_ret_long","kick_ret_td","kick_ret_yds","kick_ret_yds_per_ret","label","player","player_code","punt_ret","punt_ret_long","punt_ret_td","punt_ret_yds","punt_ret_yds_per_ret","team","_start","_end","_type"
"357",":stat_player_game_return","201909220gnb","1","60","0","60","60.0","201909220gnb_1","Diontae Spencer","S/SpenDi00","1","3","0","3","3.0","DEN",,,
"394",":stat_player_game_return","201909300pit","2","25","0","44","22.0","201909300pit_1","Alex Erickson","E/EricAl01","0","0","0","0","","CIN",,,
"411",":stat_player_game_return","201909080min","2","26","0","44","22.0","201909080min_1","Kenjon Barner","B/BarnKe00","4","18","0","46","11.5","ATL",,,
"421",":stat_player_game_return","201909150was","1","11","0","11","11.0","201909150was_1","Randall Cobb","C/CobbRa00","1","4","0","4","4.0","DAL",,,
"424",":stat_player_game_return","201909290htx","2","31","0","48","24.0","201909290htx_1","Ray-Ray McCloud","M/McClRa00","1","0","0","0","0.0","CAR",,,
"426",":stat_player_game_return","201909150was","0","0","0","0","","201909150was_2","Cedrick Wilson Jr.","W/WilsCe01","1","0","0","0","0.0","DAL",,,
"430",":stat_player_game_return","201909080min","1","13","0","13","13.0","201909080min_2","Chad Beebe","B/BeebCh00","0","0","0","0","","MIN",,,
"431",":stat_player_game_return","201909290htx","0","0","0","0","","201909290htx_2","DeAndre Carter","C/CartDe02","1","18","0","18","18.0","HOU",,,
"435",":stat_player_game_return","201909150was","0","0","0","0","","201909150was_3","Trey Quinn","Q/QuinTr00","1","9","0","9","9.0","WAS",,,
"439",":stat_player_game_return","201909150was","1","20","0","20","20.0","201909150was_4","Steven Sims","S/SimsSt00","0","0","0","0","","WAS",,,
"444",":stat_player_game_return","201909220kan","2","25","0","47","23.5","201909220kan_1","Justice Hill","H/HillJu00","0","0","0","0","","BAL",,,
"449",":stat_player_game_return","201909220kan","0","0","0","0","","201909220kan_2","De'Anthony Thomas","T/ThomDe05","1","9","0","9","9.0","KAN",,,
"458",":stat_player_game_return","201909290rav","2","18","0","30","15.0","201909290rav_1","Taywan Taylor","T/TaylTa00","0","0","0","0","","CLE",,,
"466",":stat_player_game_return","201909290rav","1","13","0","13","13.0","201909290rav_2","D'Ernest Johnson","J/JohnDE04","0","0","0","0","","CLE",,,
"467",":stat_player_game_return","201909230was","0","0","0","0","","201909230was_1","Tarik Cohen","C/CoheTa00","1","3","0","3","3.0","CHI",,,
"470",":stat_player_game_return","201909290rav","0","0","0","0","","201909290rav_3","Cyrus Jones","J/JoneCy00","1","14","0","14","14.0","BAL",,,
"473",":stat_player_game_return","201909230was","2","29","0","52","26.0","201909230was_2","Cordarrelle Patterson","P/PattCo00","0","0","0","0","","CHI",,,
"476",":stat_player_game_return","201909290rav","3","26","0","67","22.3","201909290rav_4","Chris Moore","M/MoorCh00","0","0","0","0","","BAL",,,
"482",":stat_player_game_return","201910060cin","2","30","0","52","26.0","201910060cin_1","Pharoh Cooper","C/CoopPh00","2","17","0","24","12.0","ARI",,,
"483",":stat_player_game_return","201909290rav","2","20","0","34","17.0","201909290rav_5","Justice Hill","H/HillJu00","0","0","0","0","","BAL",,,
"486",":stat_player_game_return","201909230was","0","0","0","0","","201909230was_3","Trey Quinn","Q/QuinTr00","2","9","0","15","7.5","WAS",,,
"493",":stat_player_game_return","201909230was","3","45","0","102","34.0","201909230was_4","Steven Sims","S/SimsSt00","0","0","0","0","","WAS",,,
"496",":stat_player_game_return","201910060cin","0","0","0","0","","201910060cin_2","Tyler Boyd","B/BoydTy00","1","-1","0","-1","-1.0","CIN",,,
"505",":stat_player_game_return","201910060cin","0","0","0","0","","201910060cin_3","Alex Erickson","E/EricAl01","1","10","0","10","10.0","CIN",,,
"512",":stat_player_game_return","201910060cin","3","52","0","97","32.3","201910060cin_4","Brandon Wilson","W/WilsBr01","0","0","0","0","","CIN",,,
"562",":stat_player_game_return","201909220clt","2","28","0","45","22.5","201909220clt_1","Kenjon Barner","B/BarnKe00","1","10","0","10","10.0","ATL",,,
"570",":stat_player_game_return","201909220clt","1","31","0","31","31.0","201909220clt_2","Parris Campbell","C/CampPa00","0","0","0","0","","IND",,,
"1828",":stat_player_game_return","201909290nor","0","0","0","0","","201909290nor_1","Tavon Austin","A/AustTa00","1","0","0","0","0.0","DAL",,,
"1841",":stat_player_game_return","201909290nor","0","0","0","0","","201909290nor_2","Randall Cobb","C/CobbRa00","1","14","0","14","14.0","DAL",,,
"1842",":stat_player_game_return","201910060rai","0","0","0","0","","201910060rai_1","Tarik Cohen","C/CoheTa00","2","71","0","72","36.0","CHI",,,
"1843",":stat_player_game_return","201910060oti","1","18","0","18","18.0","201910060oti_1","Andre Roberts","R/RobeAn00","2","2","0","2","1.0","BUF",,,
"1845",":stat_player_game_return","201910060pit","0","0","0","0","","201910060pit_1","Cyrus Jones","J/JoneCy00","1","2","0","2","2.0","BAL",,,
"1846",":stat_player_game_return","201910070sfo","0","0","0","0","","201910070sfo_1","Odell Beckham Jr.","B/BeckOd00","1","-6","0","-6","-6.0","CLE",,,
"1849",":stat_player_game_return","201910130tam","0","0","0","0","","201910130tam_1","Ray-Ray McCloud","M/McClRa00","1","10","0","10","10.0","CAR",,,
"1850",":stat_player_game_return","201910060oti","0","0","0","0","","201910060oti_2","Adam Humphries","H/HumpAd00","2","2","0","2","1.0","TEN",,,
