"_id","_labels","blitzes","def_air_yds","def_cmp","def_cmp_perc","def_cmp_td","def_cmp_yds","def_int","def_pass_rating","def_targets","def_tgt_yds_per_att","def_yac","def_yds_per_cmp","def_yds_per_target","game_code","label","player","player_code","pressures","qb_hurry","qb_knockdown","sacks","tackles_combined","tackles_missed","tackles_missed_pct","team","year","_start","_end","_type"
"129129",":stat_player_game_def_adv","0","85","6","66.7%","1","111","0","146.1","9","17.6","26","18.5","12.3","202010290car","202010290car_1","AJ Terrell","T/TerrAJ00","0","0","0","0.0","5","1","16.7%","ATL","2020",,,
"129136",":stat_player_game_def_adv","1","42","9","75.0%","0","84","0","93.7","12","8.3","42","9.3","7.0","202010190dal","202010190dal_1","Byron Murphy","M/MurpBy00","0","0","0","0.0","8","1","11.1%","ARI","2020",,,
"129143",":stat_player_game_def_adv","4","11","4","100.0%","0","23","0","90.6","4","2.8","12","5.8","5.8","202010290car","202010290car_2","Isaiah Oliver","O/OlivIs00","1","0","0","1.0","3","0","0.0%","ATL","2020",,,
"129151",":stat_player_game_def_adv","10","-8","6","60.0%","0","26","0","64.6","10","1.5","34","4.3","2.6","202010190dal","202010190dal_2","Jordan Hicks","H/HickJo00","0","0","0","0.0","10","0","0.0%","ARI","2020",,,
"129162",":stat_player_game_def_adv","3","-1","3","42.9%","0","16","0","50.3","7","3.1","17","5.3","2.3","202010290car","202010290car_3","Keanu Neal","N/NealKe01","1","0","1","0.0","7","0","0.0%","ATL","2020",,,
"129169",":stat_player_game_def_adv","9","5","4","80.0%","0","30","1","52.1","5","4.4","25","7.5","6.0","202010190dal","202010190dal_3","Budda Baker","B/BakeBu00","2","0","1","1.0","7","1","12.5%","ARI","2020",,,
"129170",":stat_player_game_def_adv","0","106","13","81.3%","0","162","0","108.9","16","12.3","56","12.5","10.1","202010040dal","202010040dal_1","Terrance Mitchell","M/MitcTe00","0","0","0","0.0","12","1","7.7%","CLE","2020",,,
"129173",":stat_player_game_def_adv","0","41","3","100.0%","0","63","0","118.7","3","13.7","22","21.0","21.0","202009170cle","202009170cle_1","Mackensie Alexander","A/AlexMa01","0","0","0","0.0","4","0","0.0%","CIN","2020",,,
"129175",":stat_player_game_def_adv","2","21","4","100.0%","0","68","0","118.7","4","5.3","47","17.0","17.0","202010040dal","202010040dal_2","Sione Takitaki","T/TakiSi00","0","0","0","0.0","4","1","20.0%","CLE","2020",,,
"129176",":stat_player_game_def_adv","0","3","2","50.0%","0","4","1","16.7","4","8.8","1","2.0","1.0","202010290car","202010290car_4","Blidi Wreh-Wilson","W/WrehBl00","0","0","0","0.0","4","0","0.0%","ATL","2020",,,
"129181",":stat_player_game_def_adv","0","25","4","66.7%","0","38","0","84.0","6","9.8","13","9.5","6.3","202010190dal","202010190dal_4","Patrick Peterson","P/PetePa00","0","0","0","0.0","8","0","0.0%","ARI","2020",,,
"129183",":stat_player_game_def_adv","0","10","2","66.7%","0","27","0","95.1","3","5.7","17","13.5","9.0","202010290car","202010290car_5","Kendall Sheffield","S/ShefKe00","0","0","0","0.0","1","0","0.0%","ATL","2020",,,
"129186",":stat_player_game_def_adv","4","21","3","100.0%","0","38","0","118.7","3","7.0","17","12.7","12.7","202009170cle","202009170cle_2","Vonn Bell","B/BellVo00","0","0","0","0.0","8","1","11.1%","CIN","2020",,,
"129187",":stat_player_game_def_adv","1","19","4","66.7%","0","49","1","52.1","6","7.5","30","12.3","8.2","202010190dal","202010190dal_5","Dre Kirkpatrick","K/KirkDr00","0","0","0","0.0","4","1","20.0%","ARI","2020",,,
"129192",":stat_player_game_def_adv","0","56","4","100.0%","2","60","0","158.3","4","14.0","4","15.0","15.0","202010040dal","202010040dal_3","Andrew Sendejo","S/SendAn00","0","0","0","0.0","4","0","0.0%","CLE","2020",,,
"129196",":stat_player_game_def_adv","1","68","2","50.0%","1","71","0","135.4","4","22.3","3","35.5","17.8","202010290car","202010290car_6","Ricardo Allen","A/AlleRi00","0","0","0","0.0","1","0","0.0%","ATL","2020",,,
"129197",":stat_player_game_def_adv","1","32","4","44.4%","1","51","1","60.2","9","8.4","19","12.8","5.7","202010040dal","202010040dal_4","Denzel Ward","W/WardDe02","0","0","0","0.0","4","2","33.3%","CLE","2020",,,
"129200",":stat_player_game_def_adv","2","11","3","100.0%","0","20","0","94.4","3","3.7","9","6.7","6.7","202009170cle","202009170cle_3","Josh Bynes","B/ByneJo00","0","0","0","0.0","8","1","11.1%","CIN","2020",,,
"129202",":stat_player_game_def_adv","1","8","2","50.0%","0","10","0","56.2","4","6.0","2","5.0","2.5","202010190dal","202010190dal_6","Isaiah Simmons","S/SimmIs00","0","0","0","0.0","4","0","0.0%","ARI","2020",,,
"129209",":stat_player_game_def_adv","3","9","2","66.7%","0","10","0","71.5","3","3.0","1","5.0","3.3","202010190dal","202010190dal_7","De'Vondre Campbell","C/CampDe00","0","0","0","0.0","7","0","0.0%","ARI","2020",,,
"129213",":stat_player_game_def_adv","0","46","3","60.0%","1","49","1","92.9","5","20.4","3","16.3","9.8","202009170cle","202009170cle_4","William Jackson III","J/JackWi02","0","0","0","0.0","5","1","16.7%","CIN","2020",,,
"129214",":stat_player_game_def_adv","2","4","3","75.0%","0","34","0","100.0","4","2.8","30","11.3","8.5","202010040dal","202010040dal_5","Jacob Phillips","P/PhilJa01","1","1","0","0.0","2","0","0.0%","CLE","2020",,,
"129215",":stat_player_game_def_adv","0","2","1","100.0%","0","4","0","83.3","1","2.0","2","4.0","4.0","202010290car","202010290car_7","Dante Fowler","F/FowlDa00","3","2","0","1.0","2","0","0.0%","ATL","2020",,,
"129220",":stat_player_game_def_adv","0","34","6","85.7%","0","70","1","68.7","7","9.4","36","11.7","10.0","202010040car","202010040car_1","Patrick Peterson","P/PetePa00","0","0","0","0.0","5","1","16.7%","ARI","2020",,,
"129221",":stat_player_game_def_adv","2","7","2","100.0%","0","23","0","114.6","2","3.5","16","11.5","11.5","202009170cle","202009170cle_5","Germaine Pratt","P/PratGe00","0","0","0","0.0","2","1","33.3%","CIN","2020",,,
"129223",":stat_player_game_def_adv","1","21","3","60.0%","0","21","0","69.6","5","11.8","0","7.0","4.2","202010040dal","202010040dal_6","Tavierre Thomas","T/ThomTa01","0","0","0","0.0","7","0","0.0%","CLE","2020",,,
"129224",":stat_player_game_def_adv","5","0","1","50.0%","0","3","0","56.2","2","2.5","3","3.0","1.5","202010290car","202010290car_8","Foyesade Oluokun","O/OluoFo00","1","1","0","0.0","5","1","16.7%","ATL","2020",,,
"129229",":stat_player_game_def_adv","11","4","1","100.0%","0","6","0","91.7","1","4.0","2","6.0","6.0","202010190dal","202010190dal_8","Haason Reddick","R/ReddHa00","3","1","0","2.0","5","0","0.0%","ARI","2020",,,
"129230",":stat_player_game_def_adv","7","5","2","100.0%","0","30","0","118.7","2","2.5","25","15.0","15.0","202010040dal","202010040dal_7","M.J. Stewart","S/StewM.00","2","1","0","1.0","3","0","0.0%","CLE","2020",,,
"129231",":stat_player_game_def_adv","1","9","1","100.0%","0","9","0","104.2","1","9.0","0","9.0","9.0","202009170cle","202009170cle_6","Carlos Dunlap","D/DunlCa99","0","0","0","0.0","3","0","0.0%","CIN","2020",,,
"129235",":stat_player_game_def_adv","1","27","2","40.0%","1","32","0","101.7","5","12.4","5","16.0","6.4","202010040dal","202010040dal_8","Karl Joseph","J/JoseKa00","0","0","0","0.0","6","3","33.3%","CLE","2020",,,
"129236",":stat_player_game_def_adv","0","11","1","50.0%","0","13","0","70.8","2","6.5","2","13.0","6.5","202009170cle","202009170cle_7","Darius Phillips","P/PhilDa02","0","0","0","0.0","2","0","0.0%","CIN","2020",,,
"129238",":stat_player_game_def_adv","4","-2","5","83.3%","0","19","0","79.9","6","1.2","21","3.8","3.2","202010040car","202010040car_2","Jordan Hicks","H/HickJo00","0","0","0","0.0","12","1","7.7%","ARI","2020",,,
